,Column1,vol_url,vol_number,volname,acronym,coloc_conf,ceur_long_title,voltitle,h1,tdtitle,title,loctime,workshop,workshopLabel,ref_url,ShortName,countryLabel,cityLabel,StartTime,EndTime,ProceedingsTitle,Vol_Number.1,Year,dblp_url,ceur_long_title_contained_words,tdtitle_contained_words,volname_contained_words,acronym_contained_words,voltitle_contained_words,h1_contained_words,title_contained_words,workshopLabel_contained_words,ShortName_contained_words
17,17,http://ceur-ws.org/Vol-18/,18,Ontologies and Problem-Solving Methods: Lessons Learned and Future Trends,CEUR-WS-18,nan,nan,nan,Proceedings of the,"Proceedings of the Workshop KRR5 at IJCAI'99, Stockholm, Sweden, August 2, 1999.",Proceedings of the,,,nan,,nan,,,,,nan,,,,,IJCAI,,,,,,,
18,18,http://ceur-ws.org/Vol-19/,19,Design and Management of Data Warehouses,DMDW-99,nan,"Proceedings of the Intl. Workshop DMDW'99, Heidelberg, Germany, June 14-15, 1999",nan,Design and Management of Data Warehouses,"Proceedings of the Intl. Workshop DMDW'99 at CAiSE*99, Heidelberg, Germany, June 14-15, 1999.",Design and Management of Data Warehouses,,,nan,,nan,,,,,"Proceedings of the Intl. Workshop on Design and Management of Data Warehouses, DMDW'99, Heidelberg, Germany, June 14-15, 1999.",19.0,1999.0,https://dblp.org/db/conf/dmdw/dmdw1999.html,,CAiSE,,,,,,,
27,27,http://ceur-ws.org/Vol-28/,28,Design and Management of Data Warehouses,DMDW-2000,nan,"Proceedings of the 2nd Intl. Workshop DMDW'2000, Stockholm, Sweden, June 5-6, 2000",nan,Design and Management of Data Warehouses,"Proceedings of the 2nd Intl. Workshop DMDW'2000 at CAiSE*00, Stockholm, Sweden, June 5-6, 2000.",Design and Management of Data Warehouses,,http://www.wikidata.org/entity/Q113673823,Design and Management of Data Warehouses,http://ceur-ws.org/Vol-28/,DMDW-2000,Sweden,Stockholm,2000/6/5 2:00,2000/6/6 2:00,"Proceedings of the Second Intl. Workshop on Design and Management of Data Warehouses, DMDW 2000, Stockholm, Sweden, June 5-6, 2000.",28.0,2000.0,https://dblp.org/db/conf/dmdw/dmdw2000.html,,CAiSE,,,,,,,
38,38,http://ceur-ws.org/Vol-39/,39,Design and Management of Data Warehouses 2001,DMDW-2001,nan,"Proceedings of the 3rd Intl. Workshop DMDW'2001, Interlaken, Switzerland, June 4, 2001",nan,Design and Management of Data Warehouses,"Proceedings of the 3rd Intl. Workshop DMDW'2001 at CAiSE*01, Interlaken, Switzerland, June 4, 2001.",Design and Management of Data Warehouses,,,nan,,nan,,,,,"Proceedings of the 3rd Intl. Workshop on Design and Management of Data Warehouses, DMDW'2001, Interlaken, Switzerland, June 4, 2001.",39.0,2001.0,https://dblp.org/db/conf/dmdw/dmdw2001.html,,CAiSE,,,,,,,
41,41,http://ceur-ws.org/Vol-42/,42,"Concept Lattices-based Theory, Methods and Tools for Knowledge Discovery in Databases",CLKDD '01,nan,"Proceedings of the CLKDD*01 Workshop on Concept Lattices-based Theory, Methods and Tools for Knowledge Discovery in Databases Stanford, July 30, 2001",nan,"CLKDD'01 Concept Lattices-based Theory, Methods and Tools for Knowledge Discovery in Databases","Proceedings of the CLKDD*01 Workshop on Concept Lattices-based Theory, Methods and Tools for Knowledge Discovery in Databases, Stanford, Calif., USA, July 30, 2001.","CLKDD'01 Concept Lattices-based Theory, Methods and Tools for Knowledge Discovery in Databases",,http://www.wikidata.org/entity/Q113673837,"CLKDD'01 Concept Lattices-based Theory, Methods and Tools for Knowledge Discovery in Databases",http://ceur-ws.org/Vol-42/,CLKDD '01,United States of America,Stanford,2001/7/30 2:00,2001/7/30 2:00,nan,,,,KDD,KDD,,KDD,,KDD,KDD,KDD,KDD
50,50,http://ceur-ws.org/Vol-51/,51,Ontologies and Texts,ISDO '00,nan,Proceedings of the EKAW'2000 Workshop on Ontologies and Texts,nan,Ontologies and texts,"Proceedings of the EKAW'2000 Workshop on Ontologies and Texts, Juan-les-Pins, France, October 2, 2000.",Ontologies and texts,,http://www.wikidata.org/entity/Q113673683,Ontologies and texts,http://ceur-ws.org/Vol-51/,ISDO '00,France,Juan-les-Pins,2000/10/2 2:00,2000/10/2 2:00,nan,,,,EKAW,EKAW,,,,,,,
57,57,http://ceur-ws.org/Vol-58/,58,Design and Management of Data Warehouses 2002,DMDW-2002,nan,"Proceedings of the 4th Intl. Workshop DMDW'2002, Toronto, Canada, May 27, 2002",nan,Design and Management of Data Warehouses 2002,"Proceedings of the 4th Intl. Workshop DMDW'2002 at CAiSE*02, Toronto, Canada, May 27, 2002.",Design and Management of Data Warehouses 2002,,,nan,,nan,,,,,"Design and Management of Data Warehouses 2002, Proceedings of the 4th Intl. Workshop DMDW'2002, Toronto, Canada, May 27, 2002.",58.0,2002.0,https://dblp.org/db/conf/dmdw/dmdw2002.html,,CAiSE,,,,,,,
107,104,http://ceur-ws.org/Vol-105/,105,"Application Design, Development and Implementation Issues in the Semantic Web 2004","Application Design, Development and Implementation Issues in the Semantic Web",nan,"Proceedings of the WWW2004 Workshop on Application Design, Development and Implementation Issues in the Semantic Web New York, NY, USA, May 18th, 2004",nan,"Application Design, Development and Implementation Issues in the Semantic Web","Proceedings of the WWW2004 Workshop on Application Design, Development and Implementation Issues in the Semantic Web, New York, NY, USA, May 18, 2004.","Application Design, Development and Implementation Issues in the Semantic Web",,http://www.wikidata.org/entity/Q113673610,"Application Design, Development and Implementation Issues in the Semantic Web",http://ceur-ws.org/Vol-105/,WWWSW 2004,United States of America,New York City,2004/5/18 2:00,2004/5/18 2:00,"Proceedings of the WWW2004 Workshop on Application Design, Development and Implementation Issues in the Semantic Web, New York, NY, USA, May 18, 2004.",105.0,2004.0,https://dblp.org/db/conf/www/wwwsw2004.html,WWW,WWW,,,,,,,WWW
110,107,http://ceur-ws.org/Vol-108/,108,Peer-to-Peer Knowledge Management 2004,P2PKM '04 Peer-to-Peer Knowledge Management,nan,"Proceedings of the MobiQuitous'04 Workshop on Peer-to-Peer Knowledge Management August 22, 2004 - Boston, Massachusetts, USA",nan,P2PKM '04 Peer-to-Peer Knowledge Management,"Proceedings of the MobiQuitous'04 Workshop on Peer-to-Peer Knowledge Management (P2PKM 2004), Boston, MA, USA, August 22, 2004.",P2PKM '04 Peer-to-Peer Knowledge Management,,http://www.wikidata.org/entity/Q113673617,P2PKM '04 Peer-to-Peer Knowledge Management,http://ceur-ws.org/Vol-108/,P2PKM '04,United States of America,Boston,2004/8/22 2:00,2004/8/22 2:00,"Proceedings of the MobiQuitous'04 Workshop on Peer-to-Peer Knowledge Management (P2PKM 2004), Boston, MA, USA, August 22, 2004.",108.0,2004.0,https://dblp.org/db/conf/p2pkm/p2pkm2004.html,MobiQuitous,MobiQuitous,,,,,,,
111,108,http://ceur-ws.org/Vol-109/,109,Goal-Oriented Business Process Modeling 2002,GBPM'02,nan,"Proceedings of the HCI*02 Workshop on Goal-Oriented Business Process Modeling In memory of Dr. Maxim Khomyakov GBMP'02 London, September 2, 2002",nan,GBPM'02 Goal-Oriented Business Process Modeling,"Proceedings of the HCI*02 Workshop on Goal-Oriented Business-Process Modeling (GBPM 2002), London, United Kingdom, September 2, 2002.",GBPM'02 Goal-Oriented Business Process Modeling,,http://www.wikidata.org/entity/Q113673621,GBPM'02 Goal-Oriented Business Process Modeling,http://ceur-ws.org/Vol-109/,GBPM'02,United Kingdom,London,2002/9/2 2:00,2002/9/2 2:00,"Proceedings of the HCI*02 Workshop on Goal-Oriented Business Process Modeling, In memory of Dr. Maxim Khomyakov, GBMP'02, London, UK, September 2, 2002.",109.0,2004.0,https://dblp.org/db/conf/gbpm/gbpm2002.html,,"BPM, BPM",,"BPM, BPM",,"BPM, BPM","BPM, BPM","BPM, BPM","BPM, BPM"
