item,itemLabel,itemDescription,sVolume,Volume,short_name,dblpProceedingsId,title,language_of_work_or_name,language_of_work_or_nameLabel,URN_NBN,publication_date,described_at_URL,event,eventLabel,eventSeries,eventSeriesLabel,eventSeriesOrdinal,dblpEventId,fullWorkUrl,ppnId,homePage
http://www.wikidata.org/entity/Q107266045,"Proceedings of the KI'94 Workshop KRDB'94, Saarbrücken, Germany, Sept. 20-22, 1994",academic workshop proceedings,1,1,KRDB '94,conf/krdb/94,"Proceedings of the KI'94 Workshop KRDB'94, Saarbrücken, Germany, Sept. 20-22, 1994",http://www.wikidata.org/entity/Q1860,English,urn:nbn:de:0074-1-5,1995/4/6 0:00,http://ceur-ws.org/Vol-1/,http://www.wikidata.org/entity/Q113673790,Reasoning about Structured Objects: Knowledge Representation Meets Databases (KRDB '94),,,,conf/krdb/krdb94,,,
http://www.wikidata.org/entity/Q113499885,KRDB '95,Reasoning about structured objects - knowledge representation meets databases 1995.,2,2,KRDB '95,conf/krdb/95,Reasoning about structured objects - knowledge representation meets databases 1995.,,,urn:nbn:de:0074-2-8,1996/1/31 0:00,http://ceur-ws.org/Vol-2/,http://www.wikidata.org/entity/Q106338753,"KRDB-95: Reasoning about Structured Objects: Knowledge Representation Meets Databases, 2nd Workshop KRDB'95, Bielefeld, Germany, Septtember 11-12, 1995",http://www.wikidata.org/entity/Q105698924,Knowledge Representation Meets Databases,2,,,,
http://www.wikidata.org/entity/Q113499933,EMISA '95,Proceedings EMISA-Fachgruppentreffen '95,3,3,EMISA '95,conf/emisa/1995,Requirements Engineering für Informationssysteme.,http://www.wikidata.org/entity/Q188,German,urn:nbn:de:0074-3-1,1996/3/1 0:00,http://ceur-ws.org/Vol-3/,http://www.wikidata.org/entity/Q113673791,Requirements Engineering für Informationssysteme,,,,conf/emisa/emisa1995,,,
http://www.wikidata.org/entity/Q113500136,Proceedings of the 3rd Workshop on Knowledge Representation Meets Databases,Knowledge representation meets databases 1996.,4,4,KRDB '96,conf/krdb/96,"Proceedings of 3rd Workshop KRDB'96, Budapest, Hungary, August 13, 1996.",http://www.wikidata.org/entity/Q1860,English,urn:nbn:de:0074-4-5,1996/6/5 0:00,http://ceur-ws.org/Vol-4/,http://www.wikidata.org/entity/Q113673794,3rd Workshop on Knowledge Representation Meets Databases,,,,conf/krdb/krdb96,,,
http://www.wikidata.org/entity/Q113500148,EMISA '96,"Informationsserver für das Internet - Anforderungen, Konzepte, Methoden.",5,5,EMISA '96,conf/emisa/1996,"Proceedings EMISA-Fachgruppentreffen '96, Aachen, Germany, October 9-11, 1996.",http://www.wikidata.org/entity/Q188,German,urn:nbn:de:0074-5-8,1996/9/26 0:00,http://ceur-ws.org/Vol-5/,http://www.wikidata.org/entity/Q106332645,"Informationsserver für das Internet: Anforderungen, Konzepte, Methoden, EMISA-Fachgruppentreffen 1996, Aachen, Deutschland, 9.-11. Oktober 1996",,,,,,,
http://www.wikidata.org/entity/Q113500159,Bildverarbeitung für die Medizin Algorithmen - Systeme - Anwendungen Proceedings des Aachener Workshops am Institut für Medizinische Informatik und Biometrie der RWTH Aachen am 8. und 9. November 1996,Tagungsband,6,6,BVM 1996,conf/bildmed/1996,"Proceedings Aachener Workshop, Aachen, Germany, November 8-9, 1996.",http://www.wikidata.org/entity/Q188,German,urn:nbn:de:0074-6-1,1996/11/1 0:00,http://ceur-ws.org/Vol-6/,http://www.wikidata.org/entity/Q113673795,Bildverarbeitung für die Medizin 1996,,,,conf/bildmed/bildmed1996,,,
http://www.wikidata.org/entity/Q113500193,Proceedings of the SIGIR'96 Workshop on Networked Information Retrieval,Proceedings of the NIR '96 workshop,7,7,NIR'96,conf/nir/1996,"Proceedings of the SIGIR'96 Workshop on Networked Information Retrieval, Zurich, Switzerland, August 22, 1996.",http://www.wikidata.org/entity/Q1860,English,urn:nbn:de:0074-7-4,1996/11/25 0:00,http://ceur-ws.org/Vol-7/,http://www.wikidata.org/entity/Q113673796,Workshop on Networked Information Retrieval,,,,conf/nir/nir1996,,,
http://www.wikidata.org/entity/Q113500205,KRDB-97,Proceedings Intelligent Access to Heterogeneous Information.,8,8,Intelligent Access to Heterogeneous Information.,conf/krdb/97,"Proceedings of the 4th Workshop KRDB-97, Athens, Greece, August 30, 1997.",http://www.wikidata.org/entity/Q1860,English,urn:nbn:de:0074-8-7,1997/8/31 0:00,http://ceur-ws.org/Vol-8/,http://www.wikidata.org/entity/Q106338752,"Intelligent Access to Heterogeneous Information, 4th Workshop KRDB-97, Athens, Greece, August 30, 1997",http://www.wikidata.org/entity/Q105698924,Knowledge Representation Meets Databases,4,,,,
http://www.wikidata.org/entity/Q113500208,Modellierung '98.,Proceedings Modellierung '98.,9,9,Modellierung '98.,conf/modellierung/1998,"Proceedings GI-Workshop, Münster, 11.-13. März 1998.",http://www.wikidata.org/entity/Q188,German,urn:nbn:de:0074-9-6,1998/3/30 0:00,http://ceur-ws.org/Vol-9/,http://www.wikidata.org/entity/Q113673797,Modellierung '98,,,,conf/modellierung/modellierung1998,,,
http://www.wikidata.org/entity/Q113500211,KRDB-98,Proceedings Innovative Application Programming and Query Interfaces.,10,10,Innovative Application Programming and Query Interfaces.,conf/krdb/98,"Proceedings of the 5th Workshop KRDB-98, Seattle, WA, USA, May 31, 1998.",http://www.wikidata.org/entity/Q1860,English,urn:nbn:de:0074-10-0,1998/5/19 0:00,http://ceur-ws.org/Vol-10/,http://www.wikidata.org/entity/Q113673799,Innovative Application ProgrammingandQuery Interfaces,,,,conf/krdb/krdb98,,,
