Column1,fromLine,toLine,valid,url,acronym,title,loctime,tdtitle,volname,editors,submittedBy,published,year,pubDate,number,urn,archive,desc,h1,volume_number,ceurpubdate,voltitle,homepage,h3,colocated,vol_number
0,94329,94362,1,http://ceur-ws.org/Vol-1/,KRDB'94,Reasoning about Structured Objects: Knowledge Representation Meets Databases (KRDB '94),,"Proceedings of the KI'94 Workshop KRDB'94, Saarbrücken, Germany, Sept. 20-22, 1994.",Reasoning about structured objects - knowledge representation meets databases 1994,"F. Baader, M. Buchheit, M.A. Jeusfeld, W. Nutt",Manfred Jeusfeld,1995/4/7,,1995/4/7 0:00,1,,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-1.zip,KRDB'94,Reasoning about Structured Objects: Knowledge Representation Meets Databases (KRDB '94),,,,,"Proceedings of 1st Workshop KRDB'94 Saarbrücken, Germany, September 20-22, 1994",,
1,94292,94327,1,http://ceur-ws.org/Vol-2/,KRDB'95,Reasoning about Structured Objects: Knowledge Representation Meets Databases (KRDB '95),,"Proceedings of 2nd Workshop KRDB'95, Bielefeld, Germany, Sept. 11-12, 1995.",Reasoning about structured objects - knowledge representation meets databases 1995,"F. Baader, M. Buchheit, M.A. Jeusfeld, W. Nutt",Martin Buchheit,1996/1/31,,1996/1/31 0:00,2,,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-2.zip,KRDB'95,Reasoning about Structured Objects: Knowledge Representation Meets Databases (KRDB '95),,,,,"Working Notes of the 2nd Workshop KRDB-95 Bielefeld, Germany, September 11-12, 1995",,
2,94255,94290,1,http://ceur-ws.org/Vol-3/,EMISA'95,Requirements Engineering für Informationssysteme,,"Proceedings EMISA-Fachgruppentreffen '95, Karlsruhe, Germany, October 12-13, 1995.",Requirements Engineering für Informationssysteme,Andreas Oberweis,Kirsten Lenz,1996/3/24,,1996/3/24 0:00,3,,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-3.zip,EMISA'95,Requirements Engineering für Informationssysteme,,,,,"Proceedings EMISA-Fachgruppentreffen '95 Karlsruhe, Deutschland, 12.-13. Oktober 1995",,
3,94217,94252,1,http://ceur-ws.org/Vol-4/,KRDB'96,Knowledge RepresentationMeetsDatabases,,"Proceedings of 3rd Workshop KRDB'96, Budapest, Hungary, August 13, 1996.",Knowledge representation meets databases 1996,"F. Baader, M. Buchheit, M.A. Jeusfeld, W. Nutt",Manfred Jeusfeld,1996/6/5,,1996/6/5 0:00,4,,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-4.zip,KRDB'96,Knowledge RepresentationMeetsDatabases,,,,,"Proceedings of the 3rd Workshop KRDB-96 Budapest, Hungary, August 13, 1996",,
4,94181,94215,1,http://ceur-ws.org/Vol-5/,EMISA'96,"Informationsserver für das InternetAnforderungen, Konzepte, Methoden",,"Proceedings EMISA-Fachgruppentreffen '96, Aachen, Germany, October 9-11, 1996.","Informationsserver für das Internet - Anforderungen, Konzepte, Methoden",Manfred Jeusfeld,Manfred Jeusfeld,1996/9/26,,1996/9/26 0:00,5,,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-5.zip,EMISA'96,"Informationsserver für das InternetAnforderungen, Konzepte, Methoden",,,,,"Proceedings EMISA-Fachgruppentreffen 1996 Aachen, Deutschland, 9.-11. Oktober 1996",,
5,94145,94179,1,http://ceur-ws.org/Vol-6/,WMBV'96,Bildverarbeitung für die Medizin,,"Proceedings Aachener Workshop, Aachen, Germany, November 8-9, 1996.","Bildverarbeitung für die Medizin: Algorithmen, Systeme, Anwendungen","Thomas Lehmann, Ingrid Scholl, Klaus Spitzer",Thomas Lehmann,1996/11/1,,1996/11/1 0:00,6,,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-6.zip,WMBV'96,Bildverarbeitung für die Medizin,,,,,Proceedings des Aachener Workshops am Institut für Medizinische Informatik und Biometrie der RWTH Aachen am 8. und 9. November 1996,,
6,94109,94143,1,http://ceur-ws.org/Vol-7/,SIGIR'96 Workshop Networked Information Retrieval,,,"Proceedings of the SIGIR'96 Workshop on Networked Information Retrieval, Zurich, Switzerland, August 22, 1996.",NIR'96,"Jamie Callan, Norbert Fuhr",Norbert Fuhr,1996/11/25,,1996/11/25 0:00,7,,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-7.zip,SIGIR'96 Workshop Networked Information Retrieval,,,,,,"Proceedings of the SIGIR'96 Workshop on Networked Information Retrieval ETH Zurich, Switzerland, August 22, 1996",,
7,94071,94106,1,http://ceur-ws.org/Vol-8/,KRDB-97,Intelligent AccesstoHeterogeneous Information,,"Proceedings of the 4th Workshop KRDB-97, Athens, Greece, August 30, 1997.",Intelligent Access to Heterogeneous Information,"F. Baader, M.A. Jeusfeld, W. Nutt",Manfred Jeusfeld,1997/8/31,,1997/8/31 0:00,8,,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-8.zip,KRDB-97,Intelligent AccesstoHeterogeneous Information,,,,,"Proceedings of the 4th Workshop KRDB-97 Athens, Greece, August 30, 1997",,
8,94035,94069,1,http://ceur-ws.org/Vol-9/,Modellierung-97,Modellierung '98,,"Proceedings GI-Workshop, Münster, 11.-13. März 1998.",Modellierung '98,"Klaus Pohl, Andy Schürr, Gottfried Vossen",Klaus Pohl,1998/3/30,,1998/3/30 0:00,9,,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-9.zip,Modellierung-97,Modellierung '98,,,,,"Proceedings des GI-Workshops in Münster, 11.-13. März 1998",,
9,93998,94033,1,http://ceur-ws.org/Vol-10/,KRDB-98,Innovative Application ProgrammingandQuery Interfaces,,"Proceedings of the 5th Workshop KRDB-98, Seattle, WA, USA, May 31, 1998.",Innovative Application Programming and Query Interfaces,"Alex Borgida, Vinay Chaudhri, Martin Staudt",Martin Staudt,1998/5/19,,1998/5/19 0:00,10,,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-10.zip,KRDB-98,Innovative Application ProgrammingandQuery Interfaces,,,,,"Proceedings of the 5th Workshop KRDB-98 Seattle, WA, USA, May 31, 1998",,
10,93960,93996,1,http://ceur-ws.org/Vol-11/,Workshop Proceedings DL'98,Proceedings of the,,"Proceedings of the 1998 International Workshop on Description Logics (DL'98), IRST, Povo -- Trento, Italy, June 6 - June 8, 1998.",Description Logics 1998,"Enrico Franconi, Giuseppe De Giacomo, Robert M. MacGregor,",Enrico Franconi,1998/5/29,,1998/5/29 0:00,11,,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-11.zip,Workshop Proceedings DL'98,Proceedings of the,,,,,"Enrico Franconi, IRST-ITC, Povo - Trento, Italy Giuseppe De Giacomo, Univ. La Sapienza, Roma, Italy Robert M. MacGregor, USC/ISI, Marina del Rey, CA, USA Werner Nutt, DFKI, Saarbrücken, Germany and the Hebrew University of Jerusalem, Israel Christopher A. Welty, Vassar College, Poughkeepsie, NY, USA",,
11,93923,93958,1,http://ceur-ws.org/Vol-12/,BVM-98,Bildverarbeitung für die Medizin 1998,,"Proceedings Aachener Workshop, Aachen, Germany, March 26-27, 1998.",Bildverarbeitung für die Medizin 1998: Algorithmen - Systeme - Anwendungen,"Thomas Lehmann, Volker Metzler, Klaus Spitzer, Thomas Tolxdorff",Volker Metzler,1998/6/4,,1998/6/4 0:00,12,,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-12.zip,BVM-98,Bildverarbeitung für die Medizin 1998,,,,,"26. und 27. März 1998, Universitätsklinikum der RWTH Aachen",,
12,93884,93920,1,http://ceur-ws.org/Vol-13/,PAKM98,,,"Proceedings of the Second International Conference (PAKM'98), Basel, Switzerland, October 29-30, 1998.",Practical Aspects of Knowledge Management,Ulrich Reimer,Ulrich Reimer,1998/11/12,,1998/11/12 0:00,13,,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-13.zip,PAKM98,?,,,,,"Proceedings of the Second International Conference Basel, Switzerland, October 29-30, 1998",,
13,93846,93881,1,http://ceur-ws.org/Vol-14/,OM-98,"Building, Maintaining, and Using Organizational Memories (OM-98)",,"Proceedings of the 1st Workshop OM-98, Brighton, UK,  August 24-25, 1998.","Building, Maintaining, and Using Organizational Memories",,Stefan Decker,1998/8/19,,1998/8/19 0:00,14,,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-14.zip,OM-98,"Building, Maintaining, and Using Organizational Memories (OM-98)",,,,,Andreas Abecker1 Stefan Decker2 Nada Matta3 Frank Maurer4 Ulrich Reimer5,,
