conference,conferenceLabel,ShortName,country,countryLabel,location,locationLabel,StartTime,EndTime
http://www.wikidata.org/entity/Q47520090,The 27th International Conference on Computational Linguistics,COLING 2018,http://www.wikidata.org/entity/Q30,United States of America,http://www.wikidata.org/entity/Q38555,Santa Fe,2018/8/20 2:00,2018/8/25 2:00
http://www.wikidata.org/entity/Q47912910,The 16th International Semantic Web Conference,ISWC 2017,http://www.wikidata.org/entity/Q40,Austria,http://www.wikidata.org/entity/Q1741,Vienna,2017/10/21 2:00,2017/10/25 2:00
http://www.wikidata.org/entity/Q47912910,The 16th International Semantic Web Conference,ISWC 2017,http://www.wikidata.org/entity/Q40,Austria,http://www.wikidata.org/entity/Q278044,Vienna University of Economics and Business,2017/10/21 2:00,2017/10/25 2:00
http://www.wikidata.org/entity/Q47912910,The 16th International Semantic Web Conference,ISWC 2017,http://www.wikidata.org/entity/Q40,Austria,http://www.wikidata.org/entity/Q1924056,Messe Wien,2017/10/21 2:00,2017/10/25 2:00
http://www.wikidata.org/entity/Q48025514,The 15th International Semantic Web Conference,ISWC 2016,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q48320,Kōbe,2016/10/17 2:00,2016/10/21 2:00
http://www.wikidata.org/entity/Q48025514,The 15th International Semantic Web Conference,ISWC 2016,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q11589835,Kobe International Friendship Building,2016/10/17 2:00,2016/10/21 2:00
http://www.wikidata.org/entity/Q48025651,The 14th International Semantic Web Conference,ISWC 2015,http://www.wikidata.org/entity/Q30,United States of America,http://www.wikidata.org/entity/Q164380,Bethlehem,2015/10/11 2:00,2015/10/15 2:00
http://www.wikidata.org/entity/Q48025840,The 13th International Semantic Web Conference,ISWC 2014,http://www.wikidata.org/entity/Q38,Italy,http://www.wikidata.org/entity/Q30029393,Riva del Garda,2014/10/19 2:00,2014/10/23 2:00
http://www.wikidata.org/entity/Q48025934,The 12th International Semantic Web Conference,ISWC 2013,http://www.wikidata.org/entity/Q408,Australia,http://www.wikidata.org/entity/Q3130,Sydney,2013/10/21 2:00,2013/10/25 2:00
http://www.wikidata.org/entity/Q48025934,The 12th International Semantic Web Conference,ISWC 2013,http://www.wikidata.org/entity/Q408,Australia,http://www.wikidata.org/entity/Q54493,Sydney Convention and Exhibition Centre,2013/10/21 2:00,2013/10/25 2:00
http://www.wikidata.org/entity/Q48026033,The 11th International Semantic Web Conference,ISWC 2012,http://www.wikidata.org/entity/Q30,United States of America,http://www.wikidata.org/entity/Q100,Boston,2012/11/11 1:00,2012/11/15 1:00
http://www.wikidata.org/entity/Q48026129,The 10th International Semantic Web Conference,ISWC 2011,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q586,Bonn,2011/10/23 2:00,2011/10/27 2:00
http://www.wikidata.org/entity/Q48026260,The 9th International Semantic Web Conference,ISWC 2010,http://www.wikidata.org/entity/Q148,People's Republic of China,http://www.wikidata.org/entity/Q6859038,Shanghai International Convention Center,2010/11/7 1:00,2010/11/11 1:00
http://www.wikidata.org/entity/Q48026503,The 8th International Semantic Web Conference,ISWC 2009,http://www.wikidata.org/entity/Q30,United States of America,http://www.wikidata.org/entity/Q61,"Washington, D.C.",2009/10/25 2:00,2009/10/29 1:00
http://www.wikidata.org/entity/Q48026643,The 7th International Semantic Web Conference,ISWC 2008,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q1040,Karlsruhe,2008/10/26 2:00,2008/10/30 1:00
http://www.wikidata.org/entity/Q48026643,The 7th International Semantic Web Conference,ISWC 2008,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q1781594,Kongresszentrum Karlsruhe,2008/10/26 2:00,2008/10/30 1:00
http://www.wikidata.org/entity/Q48026807,The 6th International Semantic Web Conference and the 2nd Asian Semantic Web Conference,ISWC / ASWC 2007,http://www.wikidata.org/entity/Q884,South Korea,http://www.wikidata.org/entity/Q16520,Busan,2007/11/11 1:00,2007/11/15 1:00
http://www.wikidata.org/entity/Q48026807,The 6th International Semantic Web Conference and the 2nd Asian Semantic Web Conference,ISWC / ASWC 2007,http://www.wikidata.org/entity/Q884,South Korea,http://www.wikidata.org/entity/Q626126,Busan Exhibition and Convention Center,2007/11/11 1:00,2007/11/15 1:00
http://www.wikidata.org/entity/Q48026926,The 5th International Semantic Web Conference,ISWC 2006,http://www.wikidata.org/entity/Q30,United States of America,http://www.wikidata.org/entity/Q203263,Athens,2006/11/5 1:00,2006/11/9 1:00
http://www.wikidata.org/entity/Q48026926,The 5th International Semantic Web Conference,ISWC 2006,http://www.wikidata.org/entity/Q30,United States of America,http://www.wikidata.org/entity/Q761534,University of Georgia,2006/11/5 1:00,2006/11/9 1:00
http://www.wikidata.org/entity/Q48027014,The 4th International Semantic Web Conference,ISWC 2005,http://www.wikidata.org/entity/Q27,Republic of Ireland,http://www.wikidata.org/entity/Q129610,Galway,2005/11/6 1:00,2005/11/10 1:00
http://www.wikidata.org/entity/Q48027214,3rd International Semantic Web Conference,ISWC 2004,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q34664,Hiroshima,2004/11/7 1:00,2004/11/11 1:00
http://www.wikidata.org/entity/Q48027371,2nd International Semantic Web Conference,ISWC 2003,http://www.wikidata.org/entity/Q30,United States of America,http://www.wikidata.org/entity/Q284242,Sanibel,2003/10/20 2:00,2003/10/23 2:00
http://www.wikidata.org/entity/Q48027575,1st International Semantic Web Conference,ISWC 2002,http://www.wikidata.org/entity/Q38,Italy,http://www.wikidata.org/entity/Q3246886,Chia,2002/6/9 2:00,2002/6/12 2:00
http://www.wikidata.org/entity/Q48027931,The 18th International Semantic Web Conference,ISWC 2019,http://www.wikidata.org/entity/Q664,New Zealand,http://www.wikidata.org/entity/Q492467,University of Auckland,2019/10/26 2:00,2019/10/30 1:00
http://www.wikidata.org/entity/Q48541665,CHI 2018,CHI 2018,http://www.wikidata.org/entity/Q16,Canada,http://www.wikidata.org/entity/Q2476712,Palais des congrès de Montréal,2018/4/21 2:00,2018/4/26 2:00
http://www.wikidata.org/entity/Q48563023,10th International Conference on Social Informatics,SocInfo 2018,http://www.wikidata.org/entity/Q159,Russia,http://www.wikidata.org/entity/Q49236,St. Petersburg,2018/9/25 2:00,2018/9/28 2:00
http://www.wikidata.org/entity/Q48612170,9th International Conference on Social Informatics,SocInfo 2017,http://www.wikidata.org/entity/Q145,United Kingdom,http://www.wikidata.org/entity/Q2007225,Wolfson College,2017/9/13 2:00,2017/9/15 2:00
http://www.wikidata.org/entity/Q48619834,56th Annual Meeting of the Association for Computational Linguistics,ACL 2018,http://www.wikidata.org/entity/Q408,Australia,http://www.wikidata.org/entity/Q3141,Melbourne,2018/7/15 2:00,2018/7/20 2:00
http://www.wikidata.org/entity/Q50212521,LREC 2018,LREC 2018,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q204308,Miyazaki,2018/5/7 2:00,2018/5/12 2:00
http://www.wikidata.org/entity/Q50290385,ESWC 2018,ESWC 2018,http://www.wikidata.org/entity/Q41,Greece,http://www.wikidata.org/entity/Q47259960,Aldemar Knossos Royal,2018/6/3 2:00,2018/6/7 2:00
http://www.wikidata.org/entity/Q50355797,Sixth International Conference on Learning Representations,ICLR 2018,http://www.wikidata.org/entity/Q16,Canada,http://www.wikidata.org/entity/Q2742735,Vancouver Convention Centre,2018/4/30 2:00,2018/5/3 2:00
http://www.wikidata.org/entity/Q50706744,10th International Conference on Ecological Informatics,ICEI2018,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q154561,University of Jena,2018/9/24 2:00,2018/9/28 2:00
http://www.wikidata.org/entity/Q51094661,The 7th International Conference on Complex Networks and Their Applications,COMPLEX NETWORKS 2018,http://www.wikidata.org/entity/Q145,United Kingdom,http://www.wikidata.org/entity/Q350,Cambridge,2018/12/11 1:00,2018/12/13 1:00
