workshop,workshopLabel,ref_url,ShortName,countryLabel,cityLabel,StartTime,EndTime
http://www.wikidata.org/entity/Q106067554,"Haptic and Audio Interaction Design, Second International Workshop, HAID 2007, Seoul, South Korea, November 29-30, 2007",https://dblp.org/db/conf/haid/haid2007.html,HAID 2007,South Korea,Seoul,2007/11/29 1:00,2007/11/30 1:00
http://www.wikidata.org/entity/Q106035707,"Complex Networks, results of the 3rd Workshop on Complex Networks, CompleNet 2012, Melbourne, FL, USA, March 7-9, 2012",https://dblp.org/db/conf/complenet/complenet2012.html,CompleNet 2012,United States of America,Melbourne,2012/3/7 1:00,2012/3/9 1:00
http://www.wikidata.org/entity/Q106067007,"Adaptive Multimedia Retrieval. Understanding Media and Adapting to the User - 7th International Workshop, AMR 2009, Madrid, Spain, September 24-25, 2009",https://dblp.org/db/conf/amr/amr2009.html,AMR 2009,Spain,Madrid,2009/9/24 2:00,2009/9/25 2:00
http://www.wikidata.org/entity/Q106068031,"Inductive Logic Programming, 9th International Workshop, ILP-99, Bled, Slovenia, June 24-27, 1999",https://dblp.org/db/conf/ilp/ilp99.html,ILP 1999,Slovenia,Bled,1999/6/24 2:00,1999/6/27 2:00
http://www.wikidata.org/entity/Q106068231,"International Workshop on Evidence-Based Technology Enhanced Learning, ebTEL 2012, Salamanca, Spain, March 28-30, 2012",https://dblp.org/db/conf/mis4tel/ebtel2012.html,ebTEL 2012,Spain,Salamanca,2012/3/28 2:00,2012/3/30 2:00
http://www.wikidata.org/entity/Q106035693,"12th International Workshop on Quantum Physics and Logic, QPL 2015, Oxford, UK, July 15-17, 2015",https://dblp.org/db/series/eptcs/eptcs195.html,QPL 2015,United Kingdom,Oxford,2015/7/15 2:00,2015/7/17 2:00
http://www.wikidata.org/entity/Q106067282,"Controlled Natural Language - Third International Workshop, CNL 2012, Zurich, Switzerland, August 29-31, 2012",https://dblp.org/db/conf/cnl/cnl2012.html,CNL 2012,Switzerland,Zürich,2012/8/29 2:00,2012/8/31 2:00
http://www.wikidata.org/entity/Q106067518,"Formal Methods and Stochastic Models for Performance Evaluation, Third European Performance Engineering Workshop, EPEW 2006, Budapest, Hungary, June 21-22, 2006",https://dblp.org/db/conf/epew/epew2006.html,EPEW 2006,Hungary,Budapest,2006/6/21 2:00,2006/6/22 2:00
http://www.wikidata.org/entity/Q106067552,"Haptic and Audio Interaction Design, Third International Workshop, HAID 2008, Jyväskylä, Finland, September 15-16, 2008",https://dblp.org/db/conf/haid/haid2008.html,HAID 2008,Finland,Jyväskylä,2008/9/15 2:00,2008/9/16 2:00
http://www.wikidata.org/entity/Q105944394,"Robot Vision, International Workshop RobVis 2001, Auckland, New Zealand, February 16-18, 2001",https://dblp.org/db/conf/robvis/robvis2001.html,RobVis 2001,New Zealand,Auckland,2001/2/16 1:00,2001/2/18 1:00
http://www.wikidata.org/entity/Q105944387,"Quality of Service in Multiservice IP Networks, Second International Workshop, QoS-IP 2003, Milano, Italy, February 24-26, 2003",https://dblp.org/db/conf/qosip/qosip2003.html,QoS-IP 2003,Italy,Milan,2003/2/24 1:00,2003/2/26 1:00
http://www.wikidata.org/entity/Q106068678,"Constructive Side-Channel Analysis and Secure Design - 7th International Workshop, COSADE 2016, Graz, Austria, April 14-15, 2016",https://dblp.org/db/conf/cosade/cosade2016.html,COSADE 2016,Austria,Graz,2016/4/14 2:00,2016/4/15 2:00
http://www.wikidata.org/entity/Q105944425,"Second International Workshop on User Interfaces to Data Intensive Systems, UIDIS 2001, Zurich, Switzerland, May 31 - June 1, 2001",https://dblp.org/db/conf/uidis/uidis2001.html,UIDIS 2001,Switzerland,Zürich,2001/5/31 2:00,2001/6/1 2:00
http://www.wikidata.org/entity/Q106068672,"Coalgebraic Methods in Computer Science - 11th International Workshop, CMCS 2012, Colocated with ETAPS 2012, Tallinn, Estonia, March 31 - April 1, 2012",https://dblp.org/db/conf/cmcs/cmcs2012.html,CMCS 2012,Estonia,Tallinn,2012/3/31 2:00,2012/4/1 2:00
http://www.wikidata.org/entity/Q106067593,"Focused Retrieval of Content and Structure, 10th International Workshop of the Initiative for the Evaluation of XML Retrieval, INEX 2011, Saarbrücken, Germany, December 12-14, 2011",https://dblp.org/db/conf/inex/inex2011.html,INEX Workshop 2011,Germany,Saarbrücken,2011/12/12 1:00,2011/12/14 1:00
http://www.wikidata.org/entity/Q106068254,"Tools and Algorithms for Construction and Analysis of Systems, Second International Workshop, TACAS '96, Passau, Germany, March 27-29, 1996",https://dblp.org/db/conf/tacas/tacas96.html,TACAS 1996,Germany,Passau,1996/3/27 1:00,1996/3/29 1:00
