Column1,ProceedingsTitle,Proceedings,Vol_Number,Year,persistent_url
0,"Reasoning about Structured Objects: Knowledge Representation Meets Databases, Proceedings of 1st Workshop KRDB'94, Saarbrücken, Germany, September 20-22, 1994.",CEUR Workshop Proceedings,1,1995,https://dblp.org/db/conf/krdb/krdb94.html
27,"KRDB-95: Reasoning about Structured Objects: Knowledge Representation Meets Databases, Proceedings of the 2nd Workshop KRDB'95, Bielefeld, Germany, Septtember 11-12, 1995.",CEUR Workshop Proceedings,2,1996,https://dblp.org/db/conf/krdb/krdb95.html
54,"Requirements Engineering für Informationssystems, Proceedings EMISA-Fachgruppentreffen '95, Karlsruhe, Deutschland, 12.-13. Oktober 1995.",CEUR Workshop Proceedings,3,1996,https://dblp.org/db/conf/emisa/emisa1995.html
81,"Knowledge Representation Meets Databases, Proceedings of the 3rd Workshop KRDB'96, Budapest, Hungary, August 13, 1996.",CEUR Workshop Proceedings,4,1996,https://dblp.org/db/conf/krdb/krdb96.html
108,"Informationsserver für das Internet: Anforderungen, Konzepte, Methoden, Proceedings EMISA-Fachgruppentreffen 1996, Aachen, Deutschland, 9.-11. Oktober 1996.",CEUR Workshop Proceedings,5,1996,https://dblp.org/db/conf/emisa/emisa1996.html
135,"Bildverarbeitung für die Medizin: Algorithmen, Systeme, Anwendungen, Proceedings des Aachener Workshops am 8. und 9. November 1996.",CEUR Workshop Proceedings,6,1996,https://dblp.org/db/conf/bildmed/bildmed1996.html
162,"Proceedings of the SIGIR'96 Workshop on Networked Information Retrieval, ETH Zurch, Switzerland, August 22, 1996.",CEUR Workshop Proceedings,7,1996,https://dblp.org/db/conf/nir/nir1996.html
189,"Intelligent Access to Heterogeneous Information, Proceedings of the 4th Workshop KRDB-97, Athens, Greece, August 30, 1997.",CEUR Workshop Proceedings,8,1997,https://dblp.org/db/conf/krdb/krdb97.html
216,"Modellierung '98, Proceedings des GI-Workshops in Münster, 11.-13. März 1998.",CEUR Workshop Proceedings,9,1998,https://dblp.org/db/conf/modellierung/modellierung1998.html
243,"Proceedings of the 5th International Workshop on Knowledge Represenation Meets Databases (KRDB '98): Innovative Application Programming and Query Interfaces, Seattle, Washington, USA, May 31, 1998.",CEUR Workshop Proceedings,10,1998,https://dblp.org/db/conf/krdb/krdb98.html
270,"Proceedings of the 1998 International Workshop on Description Logics (DL'98), IRST, Povo - Trento, Italy, June 6-8, 1998.",CEUR Workshop Proceedings,11,1998,https://dblp.org/db/conf/dlog/dlog1998.html
297,"Bildverarbeitung für die Medizin: Algorithmen, Systeme, Anwendungen, Proceedings des Aachener Workshops, Aachen, Germany, March 26-27, 1998.",CEUR Workshop Proceedings,12,1998,https://dblp.org/db/conf/bildmed/bildmed1998.html
