Column1,vol_url,vol_number,volname,acronym,coloc_conf,ceur_long_title,voltitle,h1,tdtitle,title,loctime,workshop,workshopLabel,ref_url,ShortName,countryLabel,cityLabel,StartTime,EndTime,ProceedingsTitle,Vol_Number.1,Year,dblp_url
0,http://ceur-ws.org/Vol-1/,1,Reasoning about structured objects - knowledge representation meets databases 1994,KRDB'94,KI 1994,"Proceedings of 1st Workshop KRDB'94 Saarbrücken, Germany, September 20-22, 1994",,Reasoning about Structured Objects: Knowledge Representation Meets Databases (KRDB '94),"Proceedings of the KI'94 Workshop KRDB'94, Saarbrücken, Germany, Sept. 20-22, 1994.",Reasoning about Structured Objects: Knowledge Representation Meets Databases (KRDB '94),,http://www.wikidata.org/entity/Q113673790,Reasoning about Structured Objects: Knowledge Representation Meets Databases (KRDB '94),http://ceur-ws.org/Vol-1/,KRDB'94,Germany,Saarbrücken,1994/9/20 2:00,1994/9/22 2:00,"Reasoning about Structured Objects: Knowledge Representation Meets Databases, Proceedings of 1st Workshop KRDB'94, Saarbrücken, Germany, September 20-22, 1994.",1,1995,https://dblp.org/db/conf/krdb/krdb94.html
1,http://ceur-ws.org/Vol-2/,2,Reasoning about structured objects - knowledge representation meets databases 1995,KRDB'95,,"Working Notes of the 2nd Workshop KRDB-95 Bielefeld, Germany, September 11-12, 1995",,Reasoning about Structured Objects: Knowledge Representation Meets Databases (KRDB '95),"Proceedings of 2nd Workshop KRDB'95, Bielefeld, Germany, Sept. 11-12, 1995.",Reasoning about Structured Objects: Knowledge Representation Meets Databases (KRDB '95),,,,,,,,,,"KRDB-95: Reasoning about Structured Objects: Knowledge Representation Meets Databases, Proceedings of the 2nd Workshop KRDB'95, Bielefeld, Germany, Septtember 11-12, 1995.",2,1996,https://dblp.org/db/conf/krdb/krdb95.html
2,http://ceur-ws.org/Vol-3/,3,Requirements Engineering für Informationssysteme,EMISA'95,,"Proceedings EMISA-Fachgruppentreffen '95 Karlsruhe, Deutschland, 12.-13. Oktober 1995",,Requirements Engineering für Informationssysteme,"Proceedings EMISA-Fachgruppentreffen '95, Karlsruhe, Germany, October 12-13, 1995.",Requirements Engineering für Informationssysteme,,http://www.wikidata.org/entity/Q113673791,Requirements Engineering für Informationssysteme,http://ceur-ws.org/Vol-3/,EMISA'95,Germany,Karlsruhe,1995/10/12 2:00,1995/10/13 2:00,"Requirements Engineering für Informationssystems, Proceedings EMISA-Fachgruppentreffen '95, Karlsruhe, Deutschland, 12.-13. Oktober 1995.",3,1996,https://dblp.org/db/conf/emisa/emisa1995.html
3,http://ceur-ws.org/Vol-4/,4,Knowledge representation meets databases 1996,KRDB'96,,"Proceedings of the 3rd Workshop KRDB-96 Budapest, Hungary, August 13, 1996",,Knowledge RepresentationMeetsDatabases,"Proceedings of 3rd Workshop KRDB'96, Budapest, Hungary, August 13, 1996.",Knowledge RepresentationMeetsDatabases,,http://www.wikidata.org/entity/Q113673794,3rd Workshop on Knowledge Representation Meets Databases,http://ceur-ws.org/Vol-4/,KRDB'96,Hungary,Budapest,1996/8/13 2:00,1996/8/13 2:00,"Knowledge Representation Meets Databases, Proceedings of the 3rd Workshop KRDB'96, Budapest, Hungary, August 13, 1996.",4,1996,https://dblp.org/db/conf/krdb/krdb96.html
4,http://ceur-ws.org/Vol-5/,5,"Informationsserver für das Internet - Anforderungen, Konzepte, Methoden",EMISA'96,,"Proceedings EMISA-Fachgruppentreffen 1996 Aachen, Deutschland, 9.-11. Oktober 1996",,"Informationsserver für das InternetAnforderungen, Konzepte, Methoden","Proceedings EMISA-Fachgruppentreffen '96, Aachen, Germany, October 9-11, 1996.","Informationsserver für das InternetAnforderungen, Konzepte, Methoden",,,,,,,,,,"Informationsserver für das Internet: Anforderungen, Konzepte, Methoden, Proceedings EMISA-Fachgruppentreffen 1996, Aachen, Deutschland, 9.-11. Oktober 1996.",5,1996,https://dblp.org/db/conf/emisa/emisa1996.html
5,http://ceur-ws.org/Vol-6/,6,"Bildverarbeitung für die Medizin: Algorithmen, Systeme, Anwendungen",WMBV'96,,Proceedings des Aachener Workshops am Institut für Medizinische Informatik und Biometrie der RWTH Aachen am 8. und 9. November 1996,,Bildverarbeitung für die Medizin,"Proceedings Aachener Workshop, Aachen, Germany, November 8-9, 1996.",Bildverarbeitung für die Medizin,,http://www.wikidata.org/entity/Q113673795,Bildverarbeitung für die Medizin 1996,http://ceur-ws.org/Vol-6/,WMBV'96,Germany,Aachen,1996/11/8 1:00,1996/11/9 1:00,"Bildverarbeitung für die Medizin: Algorithmen, Systeme, Anwendungen, Proceedings des Aachener Workshops am 8. und 9. November 1996.",6,1996,https://dblp.org/db/conf/bildmed/bildmed1996.html
6,http://ceur-ws.org/Vol-7/,7,NIR'96,SIGIR'96 Workshop Networked Information Retrieval,SIGIR'96,"Proceedings of the SIGIR'96 Workshop on Networked Information Retrieval ETH Zurich, Switzerland, August 22, 1996",,,"Proceedings of the SIGIR'96 Workshop on Networked Information Retrieval, Zurich, Switzerland, August 22, 1996.",,,http://www.wikidata.org/entity/Q113673796,Workshop on Networked Information Retrieval,http://ceur-ws.org/Vol-7/,NIR 1996,Switzerland,Zürich,1996/8/22 2:00,1996/8/22 2:00,"Proceedings of the SIGIR'96 Workshop on Networked Information Retrieval, ETH Zurch, Switzerland, August 22, 1996.",7,1996,https://dblp.org/db/conf/nir/nir1996.html
7,http://ceur-ws.org/Vol-8/,8,Intelligent Access to Heterogeneous Information,KRDB-97,,"Proceedings of the 4th Workshop KRDB-97 Athens, Greece, August 30, 1997",,Intelligent AccesstoHeterogeneous Information,"Proceedings of the 4th Workshop KRDB-97, Athens, Greece, August 30, 1997.",Intelligent AccesstoHeterogeneous Information,,,,,,,,,,"Intelligent Access to Heterogeneous Information, Proceedings of the 4th Workshop KRDB-97, Athens, Greece, August 30, 1997.",8,1997,https://dblp.org/db/conf/krdb/krdb97.html
8,http://ceur-ws.org/Vol-9/,9,Modellierung '98,Modellierung-97,,"Proceedings des GI-Workshops in Münster, 11.-13. März 1998",,Modellierung '98,"Proceedings GI-Workshop, Münster, 11.-13. März 1998.",Modellierung '98,,http://www.wikidata.org/entity/Q113673797,Modellierung '98,http://ceur-ws.org/Vol-9/,Modellierung-97,Germany,Münster,1998/3/11 1:00,1998/3/13 1:00,"Modellierung '98, Proceedings des GI-Workshops in Münster, 11.-13. März 1998.",9,1998,https://dblp.org/db/conf/modellierung/modellierung1998.html
9,http://ceur-ws.org/Vol-10/,10,Innovative Application Programming and Query Interfaces,KRDB-98,,"Proceedings of the 5th Workshop KRDB-98 Seattle, WA, USA, May 31, 1998",,Innovative Application ProgrammingandQuery Interfaces,"Proceedings of the 5th Workshop KRDB-98, Seattle, WA, USA, May 31, 1998.",Innovative Application ProgrammingandQuery Interfaces,,http://www.wikidata.org/entity/Q113673799,Innovative Application ProgrammingandQuery Interfaces,http://ceur-ws.org/Vol-10/,KRDB-98,United States of America,Seattle,1998/5/31 2:00,1998/5/31 2:00,"Proceedings of the 5th International Workshop on Knowledge Represenation Meets Databases (KRDB '98): Innovative Application Programming and Query Interfaces, Seattle, Washington, USA, May 31, 1998.",10,1998,https://dblp.org/db/conf/krdb/krdb98.html
